Topic,Count,Name,Representation,Representative_Docs,Representative_Docs_Titles
-1,176,-1_family_time_murder_love,"['family', 'time', 'murder', 'love', 'mother', 'journey', 'law', 'prison', 'case', 'crime']","['Detective Catherine Chandler is a smart, no-nonsense homicide detective. When she was a teenager, she witnessed the murder of her mother at the hands of two gunmen and herself was saved by someone – or something. Years have passed and while investigating a murder, Catherine discovers a clue that leads her to Vincent Keller, who was reportedly killed in 2002. Catherine learns that Vincent is actually still alive and that it was he who saved her many years before. For mysterious reasons that have forced him to live outside of traditional society, Vincent has been in hiding for the past 10 years to guard his secret – when he is enraged, he becomes a terrifying beast, unable to control his super-strength and heightened senses.', ""Tahsin is head of the Korludag family, his wealth and great influence in society makes him feared and respected by everyone. There isn’t a place or person in town that he does not control. Tahsin has two children; his son Korhan is a big disappointment to his father, but Sühan, his smart and beautiful daughter, he loves dearly. Korhan’s wife is without success trying to get pregnant. As she fears that Sühan will deliver an heir to the family fortune before herself, she tries to kill her sister-in-law. However, her evil plans are spoiled when a handsome stranger enters the story, saving Sühan's life, becoming her lover and taking his place as the son Tahsin always dreamt of. But what no one knows is that revenge runs in this stranger’s veins and it is no coincidence that he showed up when he did. Will his love for Sühan stop him going ahead with his plan to get vengeance on Tahsin or is it all part of his master plan…?"", ""The Sons of Anarchy (SOA) are an outlaw motorcycle club with many charters in the United States and overseas. The show focused on the original and founding charter, Sons of Anarchy Motorcycle Club, Redwood Original, often referred to by the acronym SAMCRO, Sam Crow, or simply Redwood Charter. The charter operates both legal and illegal businesses in the small town of Charming, California. They combine gun-running and a garage, and involvement in porn film industry. Clay, the charter president, likes it old school and violent; while Jax, his stepson and the club's VP, has thoughts about changing the way things are done. Their conflict has effects on both the club and their personal relationship, especially when Jax goes on a personal quest to cleanse the SAMCRO name and image.""]",
0,116,0_family_school_love_job,"['family', 'school', 'love', 'job', 'young', 'relationship', 'comedy', 'friend', 'friends', 'trying']","[""Trying to make a name for themselves in New York's competitive fashion scene, Ben Epstein and his friend and business partner Cam Calderon use their street knowledge and connections to bring their ambitions to fruition. With the help of Cam's cousin Rene, who is trying to market his own high-energy drink, and their well-connected friend Domingo, the burgeoning entrepreneurs set out to make it big, encountering obstacles along the way that will require all their ingenuity to overcome."", 'In 1943, Carson Shaw travels to Chicago to try out for the All-American Girls Professional Baseball League. There, she meets other women who also dream of playing pro baseball and makes connections that open up her world. Rockford local Max Chapman also comes to the tryouts but is turned away. With the support of her best friend Clance, she must forge a new path to pursue her dream.', ""Eda, who ties all her hopes to her education, confronts Serkan Bolat, who cuts off her international education scholarship and leaves her with high school diploma. Serkan Bolat offers Eda to give her scholarship back if she pretends to be his fiance for two months. Although Eda rejects the offer of this man as she hates him, she has to accept it when the conditions change. While pretending to be engaged, Serkan and Eda begin to experience a passionate, challenging relationship that will make them forget all they know right. Because love is difficult. And that's why it's amazing.""]",How to Make It in America | A League of Their Own | Love Is in the Air
1,80,1_time_mysterious_human_secret,"['time', 'mysterious', 'human', 'secret', 'discover', 'come', 'live', 'young', 'magic', 'worlds']","['Nam Hong Ju, endowed with the ability to foresee events, resides with her widowed mother who runs a small restaurant. Despite her gift, she often finds herself powerless to change the outcomes. On the other side of the street, Jung Jae Chan, a rookie prosecutor, and his younger brother Seung Won become their new neighbors. An unusual dream involving Hong Ju, ruthless attorney Lee Yu Beom, and a life-saving intervention leads Jae Chan to realize their destinies are intertwined, as they begin sharing dreams and connecting in mysterious ways.', 'In the near future a new phenomenon starts happening all over the world with powerful flashes of light occurring in the ocean and people from the past mysteriously reappearing. Called ""beforeigners,"" these people come from three separate time periods: the Stone Age, the Viking era and late 19th century. A couple of years later, Alfhildr – who comes from the Viking Age – has to partner up with a burned-out police officer, Lars Haaland, to investigate the murder of a beforeigner. The pair begins to unravel a larger conspiracy behind the origin of the mysterious mass arrivals.', 'Lyra is an orphan who lives in a parallel universe in which science, theology and magic are entwined. Her search for a kidnapped friend uncovers a sinister plot involving stolen children and turns into a quest to understand a mysterious phenomenon called Dust. She is later joined on her journey by Will, a boy who possesses a knife that can cut windows between worlds. As she learns the truth about her parents and her prophesied destiny, the two young people are caught up in a war against celestial powers that ranges across many worlds.']",While You Were Sleeping | Beforeigners | His Dark Materials
2,49,2_love_mafia_spy_criminal,"['love', 'mafia', 'spy', 'criminal', 'young', 'game', 'gang', 'skills', 'revenge', 'captain']","['John Reese, former CIA paramilitary operative, is presumed dead and teams up with reclusive billionaire Finch to prevent violent crimes in New York City by initiating their own type of justice. With the special training that Reese has had in Covert Operations and Finch\'s genius software inventing mind, the two are a perfect match for the job that they have to complete. With the help of surveillance equipment, they work ""outside the law"" and get the right criminal behind bars.\xa0', ""Just an ordinary boy from the Sofia suburbs becomes the first bulgarian undercover cop. Forced by his father when he was young to lie and cheat, Martin becomes the perfect liar. That skill, and also the\xa0hatred\xa0of the 'underworld' makes him the perfect match for a dangerous mission - to infiltrate the crime organisation of a rich and powerful businessman. While infiltrating and living in fear of being uncovered, Martin falls in love with the most inappropriate woman - Djaro's girlfriend, Suni. Just when he gains the trust of the mobsters, it appears that the real enemy is in the police. Martin is alone against all, facing difficult decisions."", 'Love, business, anxieties, friendships, feuds, and resentments paint the picture of the main story, that of a group of criminals who for nearly fifteen years, from 1977 to 1992, cherished an illusion: that of conquering Rome. The Lebanese, Freddo, Dandi, Patrizia, and Commissioner Scialoja are some of the characters inspired by the true story of the Magliana gang.\n\nAs stated by Aldo Grasso, the first season of the series gives more space to the crime scene, that is, the criminal exploits of the Magliana gang, while the second season delves deeper into the ""behind the scenes"" of the crime: thus, the gang\'s repositioning after a key plot event, and the effects and questions this has provoked in the protagonists\' consciences.']",Person of Interest | Undercover | Crime novel - The series
3,46,3_police_cases_detective_serial,"['police', 'cases', 'detective', 'serial', 'dexter', 'murder', 'cop', 'london', 'crime', 'criminal']","[""The Killing is a Danish police procedural set in the Copenhagen main police department and revolves around Detective Inspector Sarah Lund and her team, with each season series following a different murder case day-by-day and a one-hour episode covering twenty-four hours of the investigation. The series is noted for its plot twists, season-long storylines, dark tone and for giving equal emphasis to the story of the murdered victim's family alongside the police investigation. It has also been singled out for the photography of its Danish setting, and for the acting ability of its cast."", 'The Bletchley Circle follows the journey of four ordinary women with extraordinary skills that helped to end World War II. Set in 1952, Susan, Millie, Lucy and Jean have returned to their normal lives, modestly setting aside the part they played in producing crucial intelligence, which helped the Allies to victory and shortened the war. When Susan discovers a hidden code behind an unsolved murder she is met by skepticism from the police. She quickly realises she can only begin to crack the murders and bring the culprit to justice with her former friends. The Bletchley Circle paints a vivid portrait of post-war Britain in this fictional tale of unsung heroes.', ""In 1991 Miami, Dexter Morgan transitions from student to avenging serial killer. When his bloodthirsty urges can't be ignored any longer, Dexter must learn to channel his inner darkness. With the guidance of his father, Harry, he adopts a Code designed to help him find and kill people who deserve to be eliminated from society without getting on law enforcements' radar. This is a particular challenge for young Dexter as he begins a forensics internship at the Miami Metro Police Department.""]",The Killing | The Bletchley Circle | Dexter: Original Sin
4,34,4_murder_secrets_young_town,"['murder', 'secrets', 'young', 'town', 'accused', 'hotel', 'small', 'killer', 'maid', 'grand hotel']","['Based on the Pretty Little Liars series of young adult novels by Sara Shepard, the series follows the lives of four girls — Spencer, Hanna, Aria, and Emily — whose clique falls apart after the disappearance of their queen bee, Alison. One year later, they begin receiving messages from someone using the name ""A"" who threatens to expose their secrets — including long-hidden ones they thought only Alison knew.', ""Thanks to his police officer father's efforts, Shawn Spencer spent his childhood developing a keen eye for detail (and a lasting dislike of his dad). Years later, Shawn's frequent tips to the police lead to him being falsely accused of a crime he solved.\n\nNow, Shawn has no choice but to use his abilities to perpetuate his cover story: psychic crime-solving powers, all the while dragging his best friend, his dad, and the police along for the ride."", ""A young man arrives at the Grand Hotel, an ideal place in the middle of the wilderness to investigate his sister's disappearance. What he ignores is that he's about to meet his greater love: the pretty and seductive daughter of the Hotel's owner. Between this young couple, of different social classes, a very passionate love will be born. A dangerous romance will be entwined with the mysteries and secrets hidden between the walls of the Grand Hotel. In The Grand Hotel no one is who we think it is, no one is free of hazards or suspicious. A complex web of lies, secrets and betrayal awaits...""]",Pretty Little Liars | Psych | Grand Hotel
5,32,5_war_political_world war_agent,"['war', 'political', 'world war', 'agent', 'war ii', 'ii', 'family', 'miep', 'period', 'long']","[""Britain is in the grip of a chilling recession... falling wages, rising prices, civil unrest - only the bankers are smiling. It's 1783 and Ross Poldark returns from the American War of Independence to his beloved Cornwall to find his world in ruins: his father dead, the family mine long since closed, his house wrecked and his sweetheart pledged to marry his cousin. But Ross finds that hope and love can be found when you are least expecting it in the wild but beautiful Cornish landscape."", ""Twentysomething Miep Gies didn't hesitate when her boss Otto Frank came to her and asked her to hide his family from the Nazis during World War II. For the next two years, Miep, her husband Jan, and the other helpers watched over the eight souls in hiding in the Secret Annex. And it was Miep who found Anne’s Diary and kept it safe so Otto, the only one of the eight who survived, could later share it with the world as one of the most powerful accounts of the Holocaust."", 'A gripping coming-of-age story set against the real culture wars and political events of Germany in the 1980s. The drama follows Martin Rauch as the 24 year-old East Germany native is pulled from the world as he knows it and sent to the West as an undercover spy for the Stasi foreign service. Hiding in plain sight in the West German army, he must gather the secrets of NATO military strategy. Everything is new, nothing is quite what it seems and everyone he encounters is harboring secrets, both political and personal.']",Poldark | A Small Light | Deutschland
6,27,6_school_love_young_old,"['school', 'love', 'young', 'old', 'lena', 'stef', 'unlikely', 'childhood', 'age', 'brother']","['The story of two teenage girls who discover they were accidentally switched as newborns in the hospital. Bay Kennish grew up in a wealthy family with two parents and a brother, while Daphne Vasquez, who lost her hearing at an early age due to a case of meningitis, grew up with a single mother in a working-class neighborhood. Things come to a dramatic head when both families meet and struggle to learn how to live together for the sake of the girls.', 'A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.', ""Stef Foster, a dedicated police officer, and her partner Lena Adams, a school vice principal, have built a close-knit, loving family with Stef's biological son from a previous marriage, Brandon, and their adopted twins, Mariana and Jesus. Their lives are disrupted in unexpected ways when Lena meets Callie, a hardened teen with an abusive past who has spent her life in and out of foster homes. Lena and Stef welcome Callie and her brother, Jude, into their home thinking it's just for a few weeks, until a more permanent placement can be found. But life has something else in store for the Fosters.""]",Switched at Birth | Anne with an E | The Fosters
7,20,7_drug_crime_mob_based,"['drug', 'crime', 'mob', 'based', 'look', 'gang', 'spanish thriller', 'italian', 'epidemic', 'saviano']","['Loosely based on infamous crime boss Bumpy Johnson, who in the early 1960s returned from ten years in prison to find the neighborhood he once ruled in shambles. With the streets controlled by the Italian mob, Bumpy attempts to regain his piece of Harlem.', 'El Internado Laguna Negra was a Spanish television drama-thriller focusing on the students of a fictional boarding school in a forest, where teenagers are sent by their parents to study. The boarding school is situated in a forest far from the city, on the outskirts on which macabre events occur. The series debut on 24 May 2007, and is a production of Antena 3. Although the show is recorded and produced in HD, it is only broadcast in SD. However, an HD Blu-ray Disc release has been announced.', ""Based on Robert Saviano's bestselling book, this gritty Italian crime drama paints a portrait of the brutal Neapolitan crime organisation the Camorra, as seen through the eyes of Ciro Di Marzo, the obedient and self- confident right-hand man of the clan's godfather, Pietro Savastano.""]",Godfather of Harlem | The Boarding School | Gomorrah
8,16,8_family_relu_underworld_mafia,"['family', 'relu', 'underworld', 'mafia', 'boss', 'york', 'escape', 'tries', 'prison', 'pete']","['A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.', ""Shamed by his father's dying words, con man Attila Miklosi tries to go straight but eventually succumbs to pressure from his demanding wife Janka and his boss, Endre Hollos, and returns to his life of crime. When his son tries to follow him into the criminal underworld, Attila questions if he will be able to shield the boy."", ""Relu is a family man. He has two children, a wife and a double life. Seen through the eyes of his family, Relu Oncescu appears to be an ordinary taxi driver. No one suspects that Relu works as a collector for Capitanu', a local mobster. Neither of the two worlds (his family and the mafia) knows of the other's existence. Relu manages to keep everything under control, but not for long. After accidentally killing a man, he tries to get out of the underworld, but he can't find his way back. Day by day, the secrets he keeps become increasingly oppressive and the lies begin to surface, one by one.""]",Mr. Robot | Golden Life | Shadows
9,16,9_doctor_hospital_medicine_staff,"['doctor', 'hospital', 'medicine', 'staff', 'medical', 'pain', 'stay', 'practice', 'young doctor', 'zoe']","[""Set in downtown New York in 1900, 'The Knick' is centered on the Knickerbocker Hospital and its staff, notably Dr. John Thackery, the hospital's brilliant chief surgeon who pushes medicine's boundaries, pioneering new procedures despite a severe drug addiction."", ""A young doctor who has graduated at the top of his class from the Moscow State University of Medicine and Dentistry is thrust out into an isolated and impoverished country side as the village's only doctor.  As he learns to adapt to his new lifestyle, he develops a morphine addiction to stay his sanity while realizing what being a doctor in the real world means."", ""Every day is a matter of life and death in a hectic New York City hospital, but for Nurse Jackie that's the easiest part. Between chronic back pain that won't quit, and a personal life on the constant edge of collapse, it's going to take a white lie here, a bent rule there, and a handful of secret strategies to relieve the pain, and stay one step ahead of total disaster.""]",The Knick | A Young Doctor's Notebook | Nurse Jackie
